Computing Task,Work Size:Global,Work Size:Local,Computing Task:Total Time,Computing Task:Average Time,Computing Task:Instance Count,Computing Task:SIMD Width,Computing Task:SVM Usage Type,Computing Task:Spill Memory Size,Transfer Size,Transfer Size:Host-to-Device,Transfer Size:Device-to-Host,XVE Array:Active(%),XVE Array:Stalled(%),XVE Array:Idle(%),Peak XVE Threads Occupancy(%),Peak XVE Threads Occupancy:Work Size Limit(%),Peak XVE Threads Occupancy:SLM Use Limit(%),Peak XVE Threads Occupancy:Barriers Use Limit(%),XVE Threads Occupancy(%),Computing Threads Started,XVE Pipelines:ALU0 and ALU1 active(%),XVE Pipelines:ALU0 and XMX active(%),XVE Pipelines:Send active(%),XVE Pipelines:Branch active(%),XVE Pipelines:ALU0 active(%),XVE Pipelines:ALU1 active(%),XVE Pipelines:XMX active(%),XVE Instructions:Send Instructions,XVE Instructions:Control Instructions,XVE Instructions:ALU0 Instructions,XVE Instructions:ALU1 Instructions,XVE Instructions:XMX instructions,"GPU L3:Average Bandwidth, GB/s:Read","GPU L3:Average Bandwidth, GB/s:Write","GPU Memory Bandwidth, GB/sec:Read","GPU Memory Bandwidth, GB/sec:Write",GPU Barriers,GPU Atomics
GEMM,512 x 512,512 x 2,0.183629,0.001700,108,32,,0,0,0,0,41.0,46.7,12.4,100.0,100.0,100.0,100.0,85.6,515152,1.2,0.0,8.4,1.0,4.7,33.2,0.0,2612750396,313218968,1442143656,10294913600,0,52.947012,4.379167,3.137329,1.804578,0,0
zeCommandListAppendBarrier,,,0.000653,0.000003,236,,,0,0,0,0,33.5,24.2,42.3,0.0,0.0,100.0,100.0,54.9,2751,1.0,0.0,6.8,0.8,3.4,27.9,0.0,17468948,2189962,8713876,72010774,0,116.951027,2.506799,1.811185,2.362893,0,0
zeCommandListAppendMemoryCopy,,,0.021108,0.000111,190,,,0,199229440,199229440,0,0.6,9.6,89.7,0.0,0.0,100.0,100.0,9.9,30925,0.0,0.0,0.2,0.0,0.4,0.1,0.0,9459020,149238,18462496,3295348,0,3.376779,2.465575,2.023933,1.234983,0,0
zeCommandListAppendMemoryCopy,,,0.015352,0.000120,128,,,0,134217728,0,134217728,44.0,41.6,14.3,0.0,0.0,100.0,100.0,80.5,81416,1.4,0.0,8.9,1.1,4.4,36.7,0.0,444412378,55641226,221297026,1827998292,0,123.738578,4.191996,3.837707,4.438538,0,0
[Outside any task],,,0.0,0.0,0,,,,0,0,0,7.8,9.6,82.6,0.0,0.0,100.0,100.0,16.1,287516,0.2,0.0,1.6,0.2,0.9,6.2,0.0,1466886894,170414430,852294512,5597032304,0,9.140442,0.968455,0.511911,0.506785,0,0
