Computing Task,Work Size:Global,Work Size:Local,Computing Task:Total Time,Computing Task:Average Time,Computing Task:Instance Count,Computing Task:SIMD Width,Computing Task:SVM Usage Type,Computing Task:Spill Memory Size,Transfer Size,Transfer Size:Host-to-Device,Transfer Size:Device-to-Host,XVE Array:Active(%),XVE Array:Stalled(%),XVE Array:Idle(%),Peak XVE Threads Occupancy(%),Peak XVE Threads Occupancy:Work Size Limit(%),Peak XVE Threads Occupancy:SLM Use Limit(%),Peak XVE Threads Occupancy:Barriers Use Limit(%),XVE Threads Occupancy(%),Computing Threads Started,XVE Pipelines:ALU0 and ALU1 active(%),XVE Pipelines:ALU0 and XMX active(%),XVE Pipelines:Send active(%),XVE Pipelines:Branch active(%),XVE Pipelines:ALU0 active(%),XVE Pipelines:ALU1 active(%),XVE Pipelines:XMX active(%),XVE Instructions:Send Instructions,XVE Instructions:Control Instructions,XVE Instructions:ALU0 Instructions,XVE Instructions:ALU1 Instructions,XVE Instructions:XMX instructions,"GPU L3:Average Bandwidth, GB/s:Read","GPU L3:Average Bandwidth, GB/s:Write","GPU Memory Bandwidth, GB/sec:Read","GPU Memory Bandwidth, GB/sec:Write",GPU Barriers,GPU Atomics
Fan2,2048 x 2048,1024 x 1,1.070996,0.000523,2047,32,,0,0,0,0,6.5,72.8,20.7,100.0,100.0,100.0,100.0,62.7,90462838,0.1,0.0,0.9,0.3,0.4,5.3,0.0,1386769246,412733054,567469700,8170988780,0,157.713716,95.893165,6.270478,3.887077,0,0
Fan1,2048,16,0.037689,0.000018,2047,32,,0,0,0,0,1.5,27.6,70.8,14.3,14.3,100.0,100.0,19.9,969161,0.0,0.0,0.3,0.1,0.1,1.2,0.0,22121848,4801572,7585858,106988638,0,81.680350,49.074783,3.539959,4.762838,0,0
clEnqueueReadBuffer,,,0.001908,0.000636,3,,,,33562624,0,33562624,1.0,97.4,1.6,0.0,0.0,100.0,100.0,90.1,17652,0.0,0.0,0.4,0.0,0.0,0.6,0.0,969530,0,35130,1373192,0,9.345717,9.115203,9.270757,9.260159,0,0
clEnqueueWriteBuffer,,,0.001455,0.000485,3,,,,33562624,33562624,0,5.2,89.0,5.8,0.0,0.0,100.0,100.0,79.7,14208,0.0,0.0,2.5,0.0,0.1,2.8,0.0,722722,0,28222,819940,0,9.901733,9.739277,9.838096,8.484800,0,0
[Outside any task],,,0.0,0.0,0,,,,0,0,0,1.7,24.2,74.1,0.0,0.0,100.0,100.0,20.9,42885419,0.0,0.0,0.3,0.1,0.1,1.3,0.0,1015258440,211122206,416983096,4688326872,0,38.993511,23.326231,1.555457,2.220861,0,0
