Computing Task,Computing Task:Total Time,Computing Task:Average Time,Computing Task:Instance Count,Computing Task:SIMD Width,Computing Task:SVM Usage Type,Computing Task:Spill Memory Size,Transfer Size,Transfer Size:Host-to-Device,Transfer Size:Device-to-Host,Work Size:Global,Work Size:Local,XVE Array:Active(%),XVE Array:Stalled(%),XVE Array:Idle(%),Peak XVE Threads Occupancy(%),Peak XVE Threads Occupancy:Work Size Limit(%),Peak XVE Threads Occupancy:SLM Use Limit(%),Peak XVE Threads Occupancy:Barriers Use Limit(%),XVE Threads Occupancy(%),Computing Threads Started,"GPU Memory Bandwidth, GB/sec:Read","GPU Memory Bandwidth, GB/sec:Write",XVE Pipelines:ALU0 and ALU1 active(%),XVE Pipelines:ALU0 and XMX active(%),XVE Pipelines:Send active(%),XVE Pipelines:Branch active(%),XVE Pipelines:ALU0 active(%),XVE Pipelines:ALU1 active(%),XVE Pipelines:XMX active(%),XVE Instructions:Send Instructions,XVE Instructions:Control Instructions,XVE Instructions:ALU0 Instructions,XVE Instructions:ALU1 Instructions,XVE Instructions:XMX instructions,"GPU L3:Average Bandwidth, GB/s:Read","GPU L3:Average Bandwidth, GB/s:Write","GPU Memory Bandwidth, GB/sec:Read","GPU Memory Bandwidth, GB/sec:Write",GPU Barriers,GPU Atomics
Fan2,0.971170,0.000474,2047,32,,0,0,0,0,2048 x 2048,1024 x 1,5.3,70.2,24.5,100.0,100.0,100.0,100.0,61.5,58777243,6.245481,4.024314,0.1,0.0,0.8,0.2,0.3,4.2,0.0,1148495366,280369698,418016352,5999943378,0,159.589355,94.519164,6.245481,4.024314,0,0
Fan1,0.034814,0.000017,2047,32,,0,0,0,0,2048,16,4.3,51.8,43.9,14.3,14.3,100.0,100.0,42.7,5566470,13.152744,16.881935,0.1,0.0,0.6,0.2,0.2,3.5,0.0,89599694,25701180,35856880,514105506,0,319.730539,195.336263,13.152744,16.881935,0,0
clEnqueueReadBuffer,0.001397,0.000466,3,,,,33562624,0,33562624,,,1.4,85.8,12.8,0.0,0.0,100.0,100.0,78.7,16656,12.099855,12.253959,0.0,0.0,0.6,0.0,0.0,0.8,0.0,932608,0,33312,1299048,0,12.169440,12.023169,12.099855,12.253959,0,0
clEnqueueWriteBuffer,0.001154,0.000385,3,,,,33562624,33562624,0,,,3.2,88.1,8.7,0.0,0.0,100.0,100.0,79.2,23339,20.287321,16.839082,0.0,0.0,1.5,0.0,0.1,1.8,0.0,1180740,0,46160,1342354,0,20.430101,20.040519,20.287321,16.839082,0,0
[Outside any task],0.0,0.0,0,,,,0,0,0,,,2.3,26.5,71.3,0.0,0.0,100.0,100.0,22.5,69965570,2.223844,2.952662,0.0,0.0,0.3,0.1,0.1,1.8,0.0,1125710560,322585954,451538506,6451661098,0,55.552536,34.183182,2.223844,2.952662,0,0
