Computing Task,Computing Task:Total Time,Computing Task:Average Time,Computing Task:Instance Count,Computing Task:SIMD Width,Computing Task:SVM Usage Type,Computing Task:Spill Memory Size,Transfer Size,Transfer Size:Host-to-Device,Transfer Size:Device-to-Host,Work Size:Global,Work Size:Local,XVE Array:Active(%),XVE Array:Stalled(%),XVE Array:Idle(%),Peak XVE Threads Occupancy(%),Peak XVE Threads Occupancy:Work Size Limit(%),Peak XVE Threads Occupancy:SLM Use Limit(%),Peak XVE Threads Occupancy:Barriers Use Limit(%),XVE Threads Occupancy(%),Computing Threads Started,"GPU Memory Bandwidth, GB/sec:Read","GPU Memory Bandwidth, GB/sec:Write",XVE Pipelines:ALU0 and ALU1 active(%),XVE Pipelines:ALU0 and XMX active(%),XVE Pipelines:Send active(%),XVE Pipelines:Branch active(%),XVE Pipelines:ALU0 active(%),XVE Pipelines:ALU1 active(%),XVE Pipelines:XMX active(%),XVE Instructions:Send Instructions,XVE Instructions:Control Instructions,XVE Instructions:ALU0 Instructions,XVE Instructions:ALU1 Instructions,XVE Instructions:XMX instructions,"GPU L3:Average Bandwidth, GB/s:Read","GPU L3:Average Bandwidth, GB/s:Write","GPU Memory Bandwidth, GB/sec:Read","GPU Memory Bandwidth, GB/sec:Write",GPU Barriers,GPU Atomics
GEMM,0.264141,0.002064,128,32,,0,0,0,0,512 x 512,512 x 2,43.1,50.5,6.4,100.0,100.0,100.0,100.0,91.4,507676,1.113904,0.505854,1.3,0.0,11.0,1.4,5.5,31.7,0.0,3870712648,485267272,1932782246,11139950346,0,63.589463,1.031662,1.113904,0.505854,0,0
clEnqueueWriteBuffer,0.021423,0.000084,256,,,,268435456,268435456,0,,,0.3,37.7,62.0,0.0,0.0,100.0,100.0,33.8,120874,6.550205,6.284969,0.0,0.0,0.2,0.0,0.0,0.2,0.0,6383258,0,271544,7043638,0,6.002227,5.905264,6.550205,6.284969,0,0
clEnqueueReadBuffer,0.016457,0.000129,128,,,,134217728,0,134217728,,,0.5,56.3,43.2,0.0,0.0,100.0,100.0,52.6,103152,7.000850,6.315097,0.0,0.0,0.2,0.0,0.0,0.3,0.0,5575466,0,206622,7706652,0,6.320452,5.887118,7.000850,6.315097,0,0
[Outside any task],0.0,0.0,0,,,,0,0,0,,,0.8,1.9,97.3,0.0,0.0,100.0,100.0,2.5,201290,0.066325,0.070533,0.0,0.0,0.2,0.0,0.1,0.6,0.0,446195454,54749368,220262334,1265611186,0,0.817707,0.067628,0.066325,0.070533,0,0
